name,link
,#
,https://www.dane.gov.co/
Página principal,https://microdatos.dane.gov.co/index.php/
Catálogo Central de Datos,https://microdatos.dane.gov.co/index.php/catalog
IND-MICRODATOS,https://microdatos.dane.gov.co/index.php/catalog/Ind-Microdatos
DANE-DIMPE-EAM-2022,https://microdatos.dane.gov.co/index.php/catalog/836
,https://microdatos.dane.gov.co/index.php/catalog/Ind-Microdatos
Industria.,https://microdatos.dane.gov.co/index.php/catalog/Ind-Microdatos
Documentación en PDF,https://microdatos.dane.gov.co/index.php/catalog/836/pdf-documentation
DDI/XML,https://microdatos.dane.gov.co/index.php/metadata/export/836/ddi
JSON,https://microdatos.dane.gov.co/index.php/metadata/export/836/json
Descripción de la operación estadística,https://microdatos.dane.gov.co/index.php/catalog/836/study-description
Materiales Relacionados,https://microdatos.dane.gov.co/index.php/catalog/836/related-materials
Diccionario de Datos,https://microdatos.dane.gov.co/index.php/catalog/836/data-dictionary
Obtener Microdatos,https://microdatos.dane.gov.co/index.php/catalog/836/get-microdata
Identificación,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-identification
Alcance,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-scope
Cobertura,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-coverage
Productores patrocinadores,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-producers_sponsors
Recolección de Datos,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-data_collection
Cuestionarios,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-questionnaires
Procesamiento de datos,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-data_processing
Indicadores de la Calidad/Evaluación de la Calidad,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-data_appraisal
Acceso a los datos,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-data_access
Descargo de responsabilidad derechos de autor,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-disclaimer_copyright
Producción del metadato,https://microdatos.dane.gov.co/index.php/catalog/836#metadata-metadata_production
